FECHA,COD PIEZA,DESCRIPCION PZA,CLIENTE,OPERACIÓN,TURNO,OPERADOR,MODO DE FALLA,CANT NO OK,TOTAL PRODUCIDO,DPU
2026-06-08,CTX-FICT-01,MODULO HIDRAULICO DEMO,CLIENTE FICTICIO LAB,INSPECCIÓN DE LOTE,MAÑANA,USR-M01,MUESTRA FUERA DE COTA,6,500,0.012
2026-06-09,CTX-FICT-02,CUBIERTA TECNICA DEMO,CLIENTE FICTICIO LAB,INSPECCIÓN DE LOTE,TARDE,USR-M02,DAÑO DE SUPERFICIE,3,450,0.0067
2026-06-10,CTX-FICT-03,ACOPLE DEMO,CLIENTE FICTICIO LAB,INSPECCIÓN DE LOTE,NOCHE,USR-M03,IDENTIFICACION ILEGIBLE,2,420,0.0048
2026-06-11,CTX-FICT-04,SOPORTE TECNICO DEMO,CLIENTE FICTICIO LAB,INSPECCIÓN DE LOTE,MAÑANA,USR-M04,REBABA,5,480,0.0104
2026-06-12,CTX-FICT-05,CARCASA TECNICA DEMO,CLIENTE FICTICIO LAB,INSPECCIÓN DE LOTE,TARDE,USR-M05,POROSIDAD,8,390,0.0205
2026-06-15,CTX-FICT-01,MODULO HIDRAULICO DEMO,CLIENTE FICTICIO LAB,CONTROL FINAL,MAÑANA,USR-M06,FUNCIONAMIENTO INESTABLE,9,520,0.0173
2026-06-16,CTX-FICT-02,CUBIERTA TECNICA DEMO,CLIENTE FICTICIO LAB,CONTROL FINAL,TARDE,USR-M07,RAYADO,4,460,0.0087
2026-06-17,CTX-FICT-03,ACOPLE DEMO,CLIENTE FICTICIO LAB,CONTROL FINAL,NOCHE,USR-M08,AJUSTE INCORRECTO,7,430,0.0163
2026-06-18,CTX-FICT-04,SOPORTE TECNICO DEMO,CLIENTE FICTICIO LAB,CONTROL FINAL,MAÑANA,USR-M09,FALTA DE COMPONENTE,3,490,0.0061
2026-06-19,CTX-FICT-05,CARCASA TECNICA DEMO,CLIENTE FICTICIO LAB,CONTROL FINAL,TARDE,USR-M10,FISURA,10,400,0.025
2026-06-22,CTX-FICT-01,MODULO HIDRAULICO DEMO,CLIENTE FICTICIO LAB,RETRABAJO,TARDE,USR-M01,AJUSTE PENDIENTE,12,510,0.0235
2026-06-23,CTX-FICT-02,CUBIERTA TECNICA DEMO,CLIENTE FICTICIO LAB,RETRABAJO,NOCHE,USR-M02,REPINTADO REQUERIDO,6,455,0.0132
2026-06-24,CTX-FICT-03,ACOPLE DEMO,CLIENTE FICTICIO LAB,RETRABAJO,MAÑANA,USR-M03,RECTIFICADO ADICIONAL,8,425,0.0188
2026-06-25,CTX-FICT-04,SOPORTE TECNICO DEMO,CLIENTE FICTICIO LAB,RETRABAJO,TARDE,USR-M04,DESBARBADO ADICIONAL,5,485,0.0103
2026-06-26,CTX-FICT-05,CARCASA TECNICA DEMO,CLIENTE FICTICIO LAB,RETRABAJO,NOCHE,USR-M05,SELLADO ADICIONAL,7,395,0.0177
2026-06-29,CTX-FICT-01,MODULO HIDRAULICO DEMO,CLIENTE FICTICIO LAB,CONTROL EN PROCESO,MAÑANA,USR-M06,DESALINEACION,11,515,0.0214
2026-06-30,CTX-FICT-02,CUBIERTA TECNICA DEMO,CLIENTE FICTICIO LAB,CONTROL EN PROCESO,TARDE,USR-M07,ESPESOR IRREGULAR,5,458,0.0109
2026-07-01,CTX-FICT-03,ACOPLE DEMO,CLIENTE FICTICIO LAB,CONTROL EN PROCESO,NOCHE,USR-M08,DIAMETRO FUERA DE COTA,9,428,0.021
2026-07-02,CTX-FICT-04,SOPORTE TECNICO DEMO,CLIENTE FICTICIO LAB,CONTROL EN PROCESO,MAÑANA,USR-M09,POSICION INCORRECTA,4,492,0.0081
2026-07-03,CTX-FICT-05,CARCASA TECNICA DEMO,CLIENTE FICTICIO LAB,CONTROL EN PROCESO,TARDE,USR-M10,INCLUSION,8,402,0.0199
2026-07-06,CTX-FICT-01,MODULO HIDRAULICO DEMO,CLIENTE FICTICIO LAB,AUDITORÍA DE CALIDAD,TARDE,USR-M01,REGISTRO INCOMPLETO,3,518,0.0058
2026-07-07,CTX-FICT-02,CUBIERTA TECNICA DEMO,CLIENTE FICTICIO LAB,AUDITORÍA DE CALIDAD,NOCHE,USR-M02,TRAZABILIDAD INCOMPLETA,4,462,0.0087
2026-07-08,CTX-FICT-03,ACOPLE DEMO,CLIENTE FICTICIO LAB,AUDITORÍA DE CALIDAD,MAÑANA,USR-M03,CRITERIO NO REGISTRADO,2,432,0.0046
2026-07-09,CTX-FICT-04,SOPORTE TECNICO DEMO,CLIENTE FICTICIO LAB,RECHAZO INTERNO,TARDE,USR-M04,DAÑO EN MANIPULACION,6,495,0.0121
2026-07-10,CTX-FICT-05,CARCASA TECNICA DEMO,CLIENTE FICTICIO LAB,RECHAZO INTERNO,NOCHE,USR-M05,DEFECTO VISUAL,5,405,0.0123
